SensorID,Timestamp,Temperature,Region
S138,2024-01-12 04:00:00,18.9,Region2
S145,2024-01-23 08:00:00,21.91,Region2
S158,2024-01-18 22:00:00,23.57,Region2
S136,2024-01-29 05:00:00,19.2,Region2
S163,2024-01-30 05:00:00,22.3,Region2
S184,2024-01-14 21:00:00,26.3,Region2
S192,2024-01-01 01:00:00,23.12,Region2
S181,2024-01-18 19:00:00,24.22,Region2
S165,2024-01-06 19:00:00,23.56,Region2
S151,2024-01-21 05:00:00,16.0,Region2
S192,2024-01-15 10:00:00,16.08,Region2
S161,2024-01-29 04:00:00,25.56,Region2
S139,2024-01-20 20:00:00,15.95,Region2
S116,2024-01-29 21:00:00,15.13,Region2
S146,2024-01-18 09:00:00,INVALID,Region2
S186,2024-01-05 00:00:00,17.45,Region2
S162,2024-01-20 03:00:00,INVALID,Region2
S185,2024-01-05 09:00:00,24.3,Region2
S114,2024-01-02 17:00:00,16.0,Region2
S154,2024-01-30 06:00:00,24.27,Region2
S174,2024-01-01 06:00:00,26.59,Region2
S191,2024-01-28 05:00:00,23.19,Region2
S173,2024-01-04 06:00:00,21.68,Region2
S178,2024-01-10 21:00:00,18.22,Region2
S163,2024-01-24 07:00:00,21.06,Region2
S197,2024-01-06 20:00:00,26.92,Region2
S172,2024-01-11 04:00:00,22.2,Region2
S195,2024-01-02 18:00:00,21.54,Region2
S107,2024-01-01 03:00:00,15.95,Region2
S135,2024-01-03 01:00:00,15.97,Region2
S107,2024-01-15 23:00:00,27.61,Region2
S106,2024-01-09 12:00:00,20.53,Region2
S110,2024-01-13 12:00:00,28.28,Region2
S111,2024-01-03 13:00:00,15.4,Region2
S142,2024-01-22 08:00:00,15.03,Region2
S135,2024-01-25 00:00:00,16.76,Region2
S184,2024-01-24 09:00:00,INVALID,Region2
S109,2024-01-29 08:00:00,20.49,Region2
S135,2024-01-13 04:00:00,INVALID,Region2
S187,2024-01-15 03:00:00,19.01,Region2
S171,2024-01-29 07:00:00,29.46,Region2
S154,2024-01-03 09:00:00,,Region2
S176,2024-01-20 12:00:00,16.96,Region2
S181,2024-01-20 08:00:00,21.03,Region2
S190,2024-01-13 21:00:00,27.66,Region2
S183,2024-01-08 12:00:00,27.8,Region2
S177,2024-01-14 20:00:00,15.45,Region2
S162,2024-01-13 04:00:00,25.41,Region2
S178,2024-01-17 14:00:00,21.23,Region2
S169,2024-01-27 06:00:00,23.74,Region2
