SensorID,Timestamp,Temperature,Region
S154,2024-01-04 18:00:00,21.8,Region3
S113,2024-01-03 13:00:00,19.04,Region3
S156,2024-01-23 05:00:00,19.95,Region3
S158,2024-01-29 13:00:00,17.41,Region3
S164,2024-01-19 17:00:00,17.37,Region3
S147,2024-01-24 21:00:00,18.49,Region3
S197,2024-01-25 15:00:00,26.35,Region3
S174,2024-01-19 18:00:00,25.37,Region3
S109,2024-01-26 05:00:00,29.71,Region3
S125,2024-01-08 21:00:00,21.04,Region3
S186,2024-01-20 20:00:00,22.85,Region3
S198,2024-01-08 09:00:00,26.67,Region3
S135,2024-01-17 19:00:00,18.98,Region3
S196,2024-01-09 04:00:00,25.18,Region3
S161,2024-01-25 13:00:00,20.28,Region3
S129,2024-01-26 16:00:00,18.5,Region3
S183,2024-01-22 02:00:00,,Region3
S175,2024-01-14 09:00:00,22.16,Region3
S121,2024-01-17 15:00:00,23.26,Region3
S161,2024-01-10 03:00:00,21.46,Region3
S195,2024-01-08 12:00:00,29.5,Region3
S131,2024-01-06 08:00:00,16.46,Region3
S195,2024-01-16 15:00:00,19.34,Region3
S115,2024-01-07 05:00:00,17.52,Region3
S125,2024-01-07 20:00:00,16.39,Region3
S136,2024-01-24 09:00:00,,Region3
S154,2024-01-22 04:00:00,28.84,Region3
S128,2024-01-17 18:00:00,INVALID,Region3
S170,2024-01-30 14:00:00,19.44,Region3
S167,2024-01-14 01:00:00,25.76,Region3
S159,2024-01-21 20:00:00,16.75,Region3
S185,2024-01-27 06:00:00,26.42,Region3
S136,2024-01-18 11:00:00,28.33,Region3
S114,2024-01-02 09:00:00,19.32,Region3
S180,2024-01-27 20:00:00,29.06,Region3
S188,2024-01-02 01:00:00,17.97,Region3
S186,2024-01-23 03:00:00,24.0,Region3
S125,2024-01-23 16:00:00,,Region3
S147,2024-01-23 16:00:00,27.11,Region3
S105,2024-01-30 17:00:00,18.05,Region3
S187,2024-01-13 17:00:00,17.92,Region3
S147,2024-01-15 05:00:00,29.48,Region3
S132,2024-01-11 15:00:00,16.29,Region3
S184,2024-01-06 11:00:00,19.65,Region3
S148,2024-01-07 10:00:00,26.42,Region3
S168,2024-01-22 01:00:00,24.76,Region3
S147,2024-01-24 21:00:00,21.23,Region3
S122,2024-01-30 15:00:00,28.84,Region3
S103,2024-01-02 07:00:00,26.0,Region3
S183,2024-01-22 23:00:00,INVALID,Region3
